Poz,X_Dif,Y_Dif
2.200,-0.157465300454726,-0.515335551011689
2.202,-0.155193307290872,-0.56241810052797
2.204,-0.148411511581774,-0.536780639057589
2.206,-0.172997015289773,-0.546575273903623
2.208,-0.149998474074526,-0.550132071901608
2.210,-0.148932880642109,-0.546161363567003
2.212,-0.161214185003204,-0.51294747154149
2.214,-0.189492996002075,-0.517585949278237
2.216,-0.181751234473708,-0.533616138187811
2.218,-0.168730930509354,-0.538153379924925
2.220,-0.181740104373302,-0.535034833826716
2.222,-0.167722922452467,-0.512550193792535
2.224,-0.169652394177068,-0.52968431653798
2.226,-0.154067094943083,-0.554006976531266
2.228,-0.13098544267098,-0.563939805291909
2.230,-0.13540975981933,-0.573764265877254
2.232,-0.142046784875027,-0.578693551438948
2.234,-0.141110058900723,-0.572359431745354
2.236,-0.167451515243996,-0.554218561357463
2.238,-0.163092852565081,-0.566637507248146
2.240,-0.124704724265267,-0.566253523361919
2.242,-0.0974542069765313,-0.602683443708609
2.244,-0.124027222510453,-0.57432756736961
2.246,-0.152534345530564,-0.558305612353893
2.248,-0.179872099978637,-0.555833613086337
2.250,-0.187832557145909,-0.546510458693197
2.252,-0.167755528427992,-0.573144175542467
2.254,-0.158155821405683,-0.569870735801263
2.256,-0.156346324045534,-0.561159300515763
2.258,-0.171970342112491,-0.551351866206854
2.260,-0.166913006988739,-0.563377672658467
2.262,-0.183250187688833,-0.55262389599292
2.264,-0.174932096316416,-0.563553834650716
2.266,-0.163335062715537,-0.569799166844691
2.268,-0.165684987945189,-0.561379717398602
2.270,-0.15001272011475,-0.574656321909238
2.272,-0.153129740287484,-0.58712640766625
2.274,-0.175708401745659,-0.578027298806726
2.276,-0.167159224219489,-0.569440186773278
2.278,-0.137149458296457,-0.560522562334056
2.280,-0.145198498489334,-0.551322312082278
2.282,-0.149851976073489,-0.557359538560137
2.284,-0.145670778527177,-0.571886349070711
2.286,-0.160527359843745,-0.558275093844417
2.288,-0.1614328501236,-0.533371990112003
2.290,-0.156306781212806,-0.539170506912442
2.292,-0.153099221778008,-0.522816791283914
2.294,-0.171734937589648,-0.538321054719688
2.296,-0.168004394665365,-0.541948948637349
2.298,-0.149283971678823,-0.542741795098727
2.300,-0.151460576189459,-0.550178844569231
2.302,-0.17588174077578,-0.544938505203406
2.304,-0.181524112674337,-0.534706564531388
2.306,-0.166776418347728,-0.549344474623859
2.308,-0.166098922696615,-0.572854838709677
2.310,-0.169839088106937,-0.541180489516892
2.312,-0.191545594653157,-0.534985662404248
2.314,-0.199483803827021,-0.547733393353069
2.316,-0.187200537125767,-0.54674219183935
2.318,-0.174914920499283,-0.559129612109745
2.320,-0.208929715872677,-0.553587450788903
2.322,-0.207419818720054,-0.539365749076815
2.324,-0.212043208105716,-0.537044062623981
2.326,-0.219129285561693,-0.533005069124424
2.328,-0.194463942381054,-0.535191869869076
2.330,-0.18458425244911,-0.559373760185552
2.332,-0.14983433332316,-0.546244386120182
2.334,-0.152987224951933,-0.540509125034333
2.336,-0.154435822626423,-0.557788235114597
2.338,-0.182664134647664,-0.54533040253914
2.340,-0.194333915219581,-0.547463081759087
2.342,-0.183340409558397,-0.535664790795618
2.344,-0.177222043519395,-0.564760042115543
2.346,-0.187517880794702,-0.546153779717399
2.348,-0.181371501815851,-0.530991546372875
2.350,-0.180864415417951,-0.563386590166936
2.352,-0.192603222754601,-0.537504651020844
2.354,-0.174517606128117,-0.533226862392041
2.356,-0.169306656086917,-0.534822699667348
2.358,-0.177075521103549,-0.537234534745323
2.360,-0.137721744438002,-0.547945646534623
2.362,-0.119552424695578,-0.548137543870357
